Metrics;CBO;DIT;RFC;WMC;NF;NSF;
TaintBench;;;;;;;
min-sum;11;4;43;14;3;0;
max-sum;19597;5533;32661;46251;10644;3354;
geomean-sum;653.77;223.8;1528.58;1860.69;359.13;145.89;
min-avg;2.53;1.25;7.28;3.57;0.75;0;
max-avg;7.55;2.45;30;27.64;5.94;2.45;
geomean-avg;4.52;1.55;10.56;12.85;2.48;0.92;
DroidBench;;;;;;;
min-sum;2;2;4;1;0;0;
max-sum;29;17;48;32;27;15;
geomean-sum;6.77;5.26;11.01;4.07;5.12;5.99;
min-avg;0.2;1.08;0.4;0.09;0;0;
max-avg;10;2.67;25;16;11.5;3.25;
geomean-avg;2.03;1.57;3.3;1.22;1.09;0.85;
;;;;;;;
Coupling between object classes (CBO): the number of dependencies a class has.;;;;;;;
Depth of Inheritance Tree (DIT): the depth of the class in the inheritance tree.;;;;;;;
Response for a Class (RFC): the number of unique method invocations in a class.;;;;;;;
Weighted Method per Class (WMC): the number of declared methods per class.;;;;;;;
Number of fields (NF):  the total number of fields in a class.;;;;;;;
Number of static fields (NSF):  the total number of static fields in a class.;;;;;;;
min-sum: minimum for the sum of all classes of each benchmark app in the suite.;;;;;;;
max-sum: maximum for the sum of all classes of each benchmark app in the suite.;;;;;;;
geomean-sum: geometric mean for the sum of all classes of each benchmark app in the suite.;;;;;;;
min-avg: minimum for the average of all classes of each benchmark app in the suite.;;;;;;;
max-avg: maximum for the average of all classes of each benchmark app in the suite.;;;;;;;
geomean-avg: geometric mean for the average of all classes of each benchmark app in the suite.;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
